90, 82
15, 9
-89, -97
7, 68
-62, 81
75, 47
-97, 71
17, 5
-92, -14
-100, 70
-79, -77
100, 29
43, 83
90, -24
69, 79
-32, -61
-56, 75
-86, 53
82, -77
11, 80
21, 23
94, -70
-46, 40
30, -73
-4, 84
13, -57
26, -98
-71, 11
-1, 69
-95, -93
11, -24
54, -46
-67, 60
87, -9
36, -93
-89, 75
-64, 81
92, 42
-46, -72
46, -53
-68, 87
35, 41
-75, 18
23, -70
-53, -51
-44, 9
40, 56
18, 82
-34, -18
77, 17
-86, -9
88, -21
66, 78
-30, -26
93, -3
14, 18
-60, -96
-79, 0
38, 82
65, -98
60, -69
30, 83
0, -8
-35, 36
5, 90
-61, -38
-15, 92
26, 69
-85, 31
-65, 79
75, 98
-99, 8
-81, -17
-49, -16
72, 15
49, 100
72, 72
10, -20
71, 50
57, 93
-99, -59
66, 61
-81, -51
-54, 1
13, -19
-47, 50
-43, 16
-74, -93
11, 84
-70, -32
-86, -56
20, -57
28, 68
-72, -61
-44, -35
-17, -45
